t,count
30260,94
30280,102
30300,114
30320,90
30340,114
30360,101
30380,87
30400,103
30420,96
30440,98
30460,112
30480,89
30500,96
30520,78
30540,86
30560,109
30580,81
30600,102
30620,89
30640,100
30660,98
30680,59
30700,104
30720,81
30740,72
30760,76
30780,103
30800,125
30820,123
30840,88
30860,77
30880,105
30900,93
30920,78
30940,114
30960,88
30980,92
31000,106
31020,100
31040,104
31060,89
31080,96
31100,89
31120,115
31140,103
31160,98
31180,98
31200,99
31220,106
31240,92
31260,86
31280,101
31300,80
31320,116
31340,111
31360,134
31380,96
31400,128
31420,108
31440,86
31460,91
31480,114
31500,137
31520,124
31540,95
31560,106
31580,92
31600,110
31620,88
31640,97
31660,94
31680,75
31700,112
31720,89
31740,107
31760,113
31780,98
31800,77
31820,114
31840,115
31860,104
31880,98
31900,87
31920,91
31940,92
31960,106
31980,83
32000,92
32020,113
32040,118
32060,85
32080,74
32100,94
32120,104
32140,106
32160,78
32180,93
32200,88
32220,96
32240,114
32260,104
32280,118
32300,125
32320,103
32340,94
32360,99
32380,110
32400,81
32420,115
32440,105
32460,117
32480,133
32500,102
32520,92
32540,97
32560,117
32580,108
32600,108
32620,87
32640,117
32660,90
32680,120
32700,109
32720,106
32740,94
32760,101
32780,86
32800,84
32820,94
32840,100
32860,79
32880,90
32900,98
32920,97
32940,103
32960,111
32980,94
33000,83
33020,88
33040,99
33060,80
33080,100
33100,95
33120,88
33140,106
33160,79
33180,121
33200,76
33220,120
33240,90
33260,66
33280,89
33300,105
33320,122
33340,86
33360,118
33380,74
33400,105
33420,91
33440,99
33460,85
33480,76
33500,82
33520,110
33540,98
33560,93
33580,99
33600,105
33620,79
33640,90
33660,111
33680,95
33700,81
33720,94
33740,88
33760,105
33780,124
33800,105
33820,130
33840,106
33860,106
33880,86
33900,64
33920,111
33940,80
33960,95
33980,91
34000,79
34020,108
34040,96
34060,96
34080,100
34100,103
34120,91
34140,134
34160,91
34180,107
34200,77
34220,117
34240,98
34260,96
34280,104
34300,92
34320,84
34340,68
34360,113
34380,127
34400,93
34420,88
34440,74
34460,111
34480,112
34500,112
34520,113
34540,93
34560,109
34580,95
34600,90
34620,98
34640,100
34660,107
34680,81
34700,105
34720,109
34740,101
34760,94
34780,96
34800,95
34820,84
34840,61
34860,110
34880,84
34900,94
34920,96
34940,97
34960,61
34980,108
35000,80
35020,82
35040,105
35060,89
35080,90
35100,110
35120,110
35140,90
35160,80
35180,123
35200,108
35220,66
35240,115
35260,99
35280,96
35300,93
35320,77
